channelTitle,title,publishedAt,likeCount,dislikeCount,commentCount,viewCount,duration,all_comment
ETtoday新聞雲,【LIVE】12/10 中研院停班一天自我健康檢測　黃珊珊親赴現場視察,2021-12-10T06:27:34Z,3,0,1,344,PT10M16S,"[{'videoId': 'XnbJoGT0M2U', 'textOriginal': '這種蠢事只能出在台灣！', 'likeCount': 0, 'publishedAt': '2021-12-10T07:21:25Z'}]"
ETtoday新聞雲,2022多頭氣勢旺 上看2萬點這些股必買│20211210 雲端好生活 第25集│台股 投資│劉姿麟 ft.李鎮宇 威宇,2021-12-10T05:15:11Z,141,9,1,12526,PT50M9S,"[{'videoId': 'LGf5stJYzwE', 'textOriginal': '讚!來賓分析專業，獲益良多', 'likeCount': 0, 'publishedAt': '2021-12-11T14:28:43Z'}, {'videoId': 'LGf5stJYzwE', 'textOriginal': '現在不買，難道要等20000點才買嗎??', 'likeCount': 0, 'publishedAt': '2021-12-11T10:10:26Z'}]"
ETtoday新聞雲,2021/12/10【ET午間新聞】12:00-13:00│Taiwan ETtoday News Live 台湾のニュース ライブ配信 대만 뉴스 생방송,2021-12-10T05:11:13Z,28,2,0,4562,PT1H18S,[]
ETtoday新聞雲,確診女北市足跡曝！曾搭公車306、藍21　黃珊珊：坐板南線頻率高,2021-12-10T02:33:46Z,0,0,0,130,PT1M17S,[]
ETtoday新聞雲,P3實驗室確診女曾搭板南線　匡列85人...陳時中：判定是Delta,2021-12-10T02:33:17Z,1,0,3,347,PT7M45S,"[{'videoId': 'WBV02cVC7FY', 'textOriginal': '陳屍終~回去拔牙吧~臉皮真厚~明年去選(台北市長)啦~', 'likeCount': 0, 'publishedAt': '2021-12-10T04:53:17Z'}, {'videoId': 'WBV02cVC7FY', 'textOriginal': '本土破功？這種情況出現在台灣奇怪嗎？明顯的本土病例硬說成是境外移入不是第一次了？', 'likeCount': 0, 'publishedAt': '2021-12-10T04:20:02Z'}, {'videoId': 'WBV02cVC7FY', 'textOriginal': '全世界看好了!臺灣只示範一次!\n不篩檢!不打疫苗!不停班!只要緣份到了疫情自然會消失!', 'likeCount': 0, 'publishedAt': '2021-12-10T03:25:02Z'}]"
ETtoday新聞雲,新北+1耶誕城恐停辦？　侯友宜：若有必要以防疫為主,2021-12-10T02:32:45Z,5,0,0,439,PT1M45S,[]
ETtoday新聞雲,友邦尼加拉瓜宣布「與台灣斷交」　外交部：停止援助、撤離大使館,2021-12-10T02:30:10Z,11,2,24,1734,PT1M12S,"[{'videoId': 'O1l0KnsMIS4', 'textOriginal': '💰還來～～～垃圾國', 'likeCount': 0, 'publishedAt': '2021-12-11T03:42:41Z'}, {'videoId': 'O1l0KnsMIS4', 'textOriginal': '1985年尼加拉瓜的断交，是中国一穷二白时，而台湾地区富的流油！！！\n今天，尼加拉瓜的断交，是中国非常富强时刻，而台湾地区则是贪污腐败的时候！\n是打压吗？是金钱外交吗？\n这一切，看在眼里，只是证明了一样东西。。。\n尼加拉瓜这位总统的智慧与眼光！远大，毫不含糊！', 'likeCount': 0, 'publishedAt': '2021-12-11T01:56:42Z'}, {'videoId': 'O1l0KnsMIS4', 'textOriginal': '無道無德無政治王朝，終將天災人禍不斷', 'likeCount': 1, 'publishedAt': '2021-12-10T23:02:57Z'}, {'videoId': 'O1l0KnsMIS4', 'textOriginal': '尼加那瓜，也算蠻狠的，最後要分手了，還坑台灣30億美金的援助，真是賠了夫人又折兵，要怪就怪台灣沒有市場，自己嘟要靠出口，不送現金誰跟你玩', 'likeCount': 0, 'publishedAt': '2021-12-10T10:52:25Z'}, {'videoId': 'O1l0KnsMIS4', 'textOriginal': '垃圾國家，快滾不送！', 'likeCount': 0, 'publishedAt': '2021-12-10T07:06:48Z'}, {'videoId': 'O1l0KnsMIS4', 'textOriginal': '5年斷8國!!  這是我們史上最厲害的政府。剩兩年時間看能不能清零，直接納入美國第51州?  加油...', 'likeCount': 4, 'publishedAt': '2021-12-10T06:32:19Z'}, {'videoId': 'O1l0KnsMIS4', 'textOriginal': '這是尼加拉瓜民主自由的選擇', 'likeCount': 0, 'publishedAt': '2021-12-10T05:57:48Z'}, {'videoId': 'O1l0KnsMIS4', 'textOriginal': '下一个几乎肯定是两个月后的洪都拉斯，然后塔绿班媒会说台湾挺住，还有“十三太保”，然后过些日子是“十二金刚”，再是“十一勇士”、“十条好汉”......', 'likeCount': 0, 'publishedAt': '2021-12-10T05:19:18Z'}, {'videoId': 'O1l0KnsMIS4', 'textOriginal': '外事不穩罵中國大陸，內政不穩罵國民黨。民進黨加油，繼續搞亂台灣，和平統一中國人會記你們頭功。', 'likeCount': 1, 'publishedAt': '2021-12-10T04:31:24Z'}, {'videoId': 'O1l0KnsMIS4', 'textOriginal': '最終的結果全部斷光！因為台灣只是中國的一個省。你所認定的憲法也是這麼說！', 'likeCount': 0, 'publishedAt': '2021-12-10T04:22:21Z'}, {'videoId': 'O1l0KnsMIS4', 'textOriginal': '不是和台灣短交，是和中國的前朝-中華民國短交，台灣不是一個國家，台灣島只是中國的一個省 lol😜', 'likeCount': 1, 'publishedAt': '2021-12-10T03:34:35Z'}, {'videoId': 'O1l0KnsMIS4', 'textOriginal': '為了公投中有悲情牌可打，尼加拉瓜為台灣操碎了心！ 這樣的友邦才是真朋友！', 'likeCount': 0, 'publishedAt': '2021-12-10T03:26:59Z'}, {'videoId': 'O1l0KnsMIS4', 'textOriginal': '我想哭啊……很傷心……現在馬上去聽黃明志的玻璃心😭😭😭', 'likeCount': 2, 'publishedAt': '2021-12-10T03:17:06Z'}, {'videoId': 'O1l0KnsMIS4', 'textOriginal': '（她不敬拜炎黃，他當然就不敬愛父母！）她不敬拜炎黃，他當然就不敬愛父母！此一黑暗島嶼的君臣、父子、夫婦、長幼，和朋友間，所以今日會淪落到互不信愛，甚至彼此是沒大沒小，目無尊長，疾言厲色以對，這都是因為她不敬拜炎黃，人民百姓當然就不敬愛他們父母、夫妻、師長，和朋友！致使此一社會的“五倫相殘”景象，是越來越嚴重！近期發生的“仗勢凌虐”，和“分屍至親”事件，只是冰山的一角！當年周公的“制禮作樂”，孔子的“從周尊周”，以及我中華兒女的敬拜“炎黃”，並榮耀稱自己是“中華兒女”、“炎黃子孫”，而歷代的中華兒女、炎黃子孫，又用接力的方式，創出“承先啟後”、“繼往開來”、“追本溯源”，和“飲水思源”等敬祖懷恩的詞句，甚至這些研議出，而能行之久遠的的“百家姓”、“堂號誌”、“堂號屋”、“堂號墓”，等等等等的此些在高度政治智慧下，思慮出來的嘉言懿行，在在都是我中華兒女、炎黃子孫“管理眾人之事”的高度政治智慧的結晶，此絕非西方的那些政治理論，所能企及！所以于大成教授說“中國文化最適合人類生存！”“中國文化最適合人類生活！”黃大受教授也說“中國文化是世界文化的燈塔！”“中國文化在照亮世界！”英國的湯恩比和李約瑟博士，更都說“二十一世紀，是中國人的世紀！”話再從頭說，制禮作樂、尊周從周、炎黃子孫、中華兒女、繼往開來、飲水思源，和堂號屋、堂號墓，等等等等的這些政治大智慧的結晶、實踐和揭櫫，其目的，就是要融洽和安定“五倫”之間的關係，而今天在瘋狂“兒戲國政”的此女的亂政下，卻嚴重的不懂這些政治上的大道理，她怎麼會幼稚到，不懂“去炎黃”，就是在“毀五倫”；她怎麼會幼稚到，不懂“去中國文化”，就是在“毀台灣島”；她怎麼會幼稚到，不懂“去蔣公”，就是在“毀此女自身”；她怎麼會幼稚到，不懂“去繼往”，就是在“毀開來”；她怎麼會幼稚到，不懂“去承先”，就是在“滅啟後”；她怎麼會幼稚到，不懂“去追本”，就是在“毀溯源”，等等等等！所以，弄得今日的此一黑暗島嶼，是“兒棄老”、”子犯上”，整個社會是“目無尊長”、“心無祖先”、“胸無祖國”，而一代青年所知所行者，就是橫行霸道，爆聲暴走，毫無正確的歷史觀！呈現出的是一遍“淺碟和駝鳥式的喜樂判斷！”直弄得此一黑暗之島，從此不再有“種蘋果樹的馮老先生”呢？那還會再有“為公家戶樞上油的尤老先生”呢？那還會再有“為公家破路彌補的路老先生”呢？所以，在這種忘本政治下，所沉淪的“五倫相殘”景象，當然就江河日下，日益嚴重了！近期發生的什麼“仗勢凌虐”和“分屍至親”等案，已早在吾人“要炎黃”，和“要繼往”等文章的預先警告當中！她又何能不知，她今日之所以會被“萊豬”、“公投”、“重啟核四”、“藻礁”，和“論文事件”等纏身，而坐困愁城，驚慌觳觫，就是因為她的”去炎黃”、“去中國文化”，和“去蔣公”的邪惡忘本思想和行徑啊！這些大道理，世人要明白啊！（國軍崇愛 蔣公！國軍不保衛妄圖分裂國家小撮！）12232', 'likeCount': 0, 'publishedAt': '2021-12-10T03:00:42Z'}, {'videoId': 'O1l0KnsMIS4', 'textOriginal': '（她不敬拜炎黃，他當然就不敬愛父母！）她不敬拜炎黃，他當然就不敬愛父母！此一黑暗島嶼的君臣、父子、夫婦、長幼，和朋友間，所以今日會淪落到互不信愛，甚至彼此是沒大沒小，目無尊長，疾言厲色以對，這都是因為她不敬拜炎黃，人民百姓當然就不敬愛他們父母、夫妻、師長，和朋友！致使此一社會的“五倫相殘”景象，是越來越嚴重！近期發生的“仗勢凌虐”，和“分屍至親”事件，只是冰山的一角！當年周公的“制禮作樂”，孔子的“從周尊周”，以及我中華兒女的敬拜“炎黃”，並榮耀稱自己是“中華兒女”、“炎黃子孫”，而歷代的中華兒女、炎黃子孫，又用接力的方式，創出“承先啟後”、“繼往開來”、“追本溯源”，和“飲水思源”等敬祖懷恩的詞句，甚至這些研議出，而能行之久遠的的“百家姓”、“堂號誌”、“堂號屋”、“堂號墓”，等等等等的此些在高度政治智慧下，思慮出來的嘉言懿行，在在都是我中華兒女、炎黃子孫“管理眾人之事”的高度政治智慧的結晶，此絕非西方的那些政治理論，所能企及！所以于大成教授說“中國文化最適合人類生存！”“中國文化最適合人類生活！”黃大受教授也說“中國文化是世界文化的燈塔！”“中國文化在照亮世界！”英國的湯恩比和李約瑟博士，更都說“二十一世紀，是中國人的世紀！”話再從頭說，制禮作樂、尊周從周、炎黃子孫、中華兒女、繼往開來、飲水思源，和堂號屋、堂號墓，等等等等的這些政治大智慧的結晶、實踐和揭櫫，其目的，就是要融洽和安定“五倫”之間的關係，而今天在瘋狂“兒戲國政”的此女的亂政下，卻嚴重的不懂這些政治上的大道理，她怎麼會幼稚到，不懂“去炎黃”，就是在“毀五倫”；她怎麼會幼稚到，不懂“去中國文化”，就是在“毀台灣島”；她怎麼會幼稚到，不懂“去蔣公”，就是在“毀此女自身”；她怎麼會幼稚到，不懂“去繼往”，就是在“毀開來”；她怎麼會幼稚到，不懂“去承先”，就是在“滅啟後”；她怎麼會幼稚到，不懂“去追本”，就是在“毀溯源”，等等等等！所以，弄得今日的此一黑暗島嶼，是“兒棄老”、”子犯上”，整個社會是“目無尊長”、“心無祖先”、“胸無祖國”，而一代青年所知所行者，就是橫行霸道，爆聲暴走，毫無正確的歷史觀！呈現出的是一遍“淺碟和駝鳥式的喜樂判斷！”直弄得此一黑暗之島，從此不再有“種蘋果樹的馮老先生”呢？那還會再有“為公家戶樞上油的尤老先生”呢？那還會再有“為公家破路彌補的路老先生”呢？所以，在這種忘本政治下，所沉淪的“五倫相殘”景象，當然就江河日下，日益嚴重了！近期發生的什麼“仗勢凌虐”和“分屍至親”等案，已早在吾人“要炎黃”，和“要繼往”等文章的預先警告當中！她又何能不知，她今日之所以會被“萊豬”、“公投”、“重啟核四”、“藻礁”，和“論文事件”等纏身，而坐困愁城，驚慌觳觫，就是因為她的”去炎黃”、“去中國文化”，和“去蔣公”的邪惡忘本思想和行徑啊！這些大道理，世人要明白啊！（國軍崇愛 蔣公！國軍不保衛妄圖分裂國家小撮！）0999', 'likeCount': 0, 'publishedAt': '2021-12-10T03:00:32Z'}, {'videoId': 'O1l0KnsMIS4', 'textOriginal': '台灣人均GDP 32,747 排名30\n大陸人均GDP 11,819 排名60\n尼加拉瓜人均GDP 1,877 排名149\n🤷🏻\u200d♂️', 'likeCount': 1, 'publishedAt': '2021-12-10T02:51:45Z'}, {'videoId': 'O1l0KnsMIS4', 'textOriginal': '見錢眼開的勢力小國，以後求我們再也不要再和這種叛徒復交～', 'likeCount': 0, 'publishedAt': '2021-12-10T02:50:14Z'}, {'videoId': 'O1l0KnsMIS4', 'textOriginal': '中共一定送了很多錢給尼國高層. 中共除了這招，就沒招了. 中共的外交/送錢部（又稱收買部）送錢送到手軟.', 'likeCount': 2, 'publishedAt': '2021-12-10T02:43:20Z'}, {'videoId': 'O1l0KnsMIS4', 'textOriginal': '得道多助？台灣“得道”了？不是剛才參加全球民主峰會嗎？全世界友人都支持台灣嗎？自欺欺人，網軍用謊言治國，政客任洋人索錢，玩弄！只能用“亂”一字形容台灣這詐騙島！還尊嚴勒！', 'likeCount': 0, 'publishedAt': '2021-12-10T02:38:49Z'}]"
ETtoday新聞雲,【LIVE】12/10 北市因應本土確診防疫 柯文哲召開記者會說明  #新冠病毒 #北市記者會,2021-12-10T02:01:31Z,25,1,9,2543,PT27M39S,"[{'videoId': 'yq11n5G6bnk', 'textOriginal': '不是批評白癡市長就是1450或者是側翼 是你自已做得太爛 \r\n幫你按讚的就是柯軍 好心肝事件晚上說是打肝炎疫苗 還那麼多柯家軍按讚 \r\n你老是批評別人 自己卻甩鍋 你嘴砲說的頭頭是道 卻沒有一個做得好\r\n你的政治起家不就是靠網軍嗎? 當初神豬就是被你網軍修理的體無完膚 \r\n還有漫畫作梗圖 怎麼今天被批評就說別人梗圖酸你\r\n因為一個人的政治私心 要整個台北市民陪葬', 'likeCount': 0, 'publishedAt': '2021-12-10T10:37:53Z'}, {'videoId': 'yq11n5G6bnk', 'textOriginal': '11:46 字幕打流比水是啥?', 'likeCount': 0, 'publishedAt': '2021-12-10T04:33:47Z'}, {'videoId': 'yq11n5G6bnk', 'textOriginal': '人家講的是意識型態，他說我定調是民生議題\r\n人家在搞統戰「兩岸一家親 共圓中國夢」，他說雙城論痰我都在講客套話\r\n人家在忙公投宣講，他在發總統夢，忙2022的議員選舉\r\n人家在大賣場提高疫苗接種率，他說會整ㄙˇ大家\r\n\r\n是哪個阿北那麼低能啊？', 'likeCount': 3, 'publishedAt': '2021-12-10T02:46:03Z'}]"
ETtoday新聞雲,【LIVE】12/10  新北市因應本土疫情　侯友宜記者會說明  #新冠病毒 #新北記者會,2021-12-10T01:17:27Z,4,1,1,992,PT17M,"[{'videoId': 'Lp3lwXI8PT0', 'textOriginal': '又是政治操作,搞亂公投案？民進黨為了破壞人民行使公投權,故意引進疫情?為了民進黨謀財害命,不惜對全台伸魔手?', 'likeCount': 0, 'publishedAt': '2021-12-10T01:48:26Z'}]"
ETtoday新聞雲,心臟不舒服結果竟是躁鬱症 失眠、睡眠障礙該掛哪科？｜雲端保健室 EP14精華,2021-12-10T00:00:16Z,8,0,0,763,PT10M30S,[]
